gameid,side,result,teamname,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,goldat10,xpat10,csat10,goldat20,xpat20,csat20,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,goldat15,xpat15,csat15,firsttower,firstdragon,firstherald,firstblood,turretplates
LOLTMNT03_179647,Blue,0,IziDream,-1722.0,-662.0,-32.0,0.0,0.0,1.0,14266.0,18519.0,313.0,29475.0,38659.0,656.0,-3837.0,-469.0,-16.0,0.0,0.0,3.0,21498.0,28270.0,496.0,0.0,0.0,0.0,0.0,1.0
LOLTMNT03_179647,Red,1,Team Valiant,1722.0,662.0,32.0,1.0,1.0,0.0,15988.0,19181.0,345.0,35378.0,42861.0,702.0,3837.0,469.0,16.0,3.0,9.0,0.0,25335.0,28739.0,512.0,1.0,1.0,1.0,1.0,8.0
LOLTMNT06_96134,Blue,1,Esprit Shōnen,3104.0,1069.0,33.0,8.0,15.0,4.0,18459.0,18423.0,315.0,38360.0,39561.0,657.0,5069.0,2014.0,64.0,10.0,20.0,6.0,28328.0,28393.0,497.0,1.0,0.0,1.0,1.0,8.0
LOLTMNT06_96134,Red,0,Skillcamp,-3104.0,-1069.0,-33.0,3.0,2.0,8.0,15355.0,17354.0,282.0,31778.0,38944.0,594.0,-5069.0,-2014.0,-64.0,5.0,8.0,10.0,23259.0,26379.0,433.0,0.0,1.0,0.0,0.0,2.0
LOLTMNT06_95160,Blue,0,Karmine Corp Blue Stars,-915.0,-354.0,-30.0,5.0,7.0,5.0,16335.0,18331.0,298.0,35320.0,40785.0,625.0,118.0,1990.0,-43.0,10.0,13.0,6.0,26828.0,31544.0,476.0,0.0,0.0,0.0,0.0,7.0
LOLTMNT06_95160,Red,1,Project Conquerors,915.0,354.0,30.0,5.0,10.0,5.0,17250.0,18685.0,328.0,37247.0,43800.0,729.0,-118.0,-1990.0,43.0,6.0,12.0,10.0,26710.0,29554.0,519.0,1.0,1.0,1.0,1.0,10.0
LOLTMNT03_178705,Blue,0,Zerance,181.0,518.0,12.0,3.0,4.0,3.0,16190.0,18316.0,320.0,31595.0,40086.0,669.0,-4439.0,-1319.0,10.0,3.0,4.0,10.0,23370.0,27544.0,483.0,0.0,1.0,0.0,1.0,3.0
LOLTMNT03_178705,Red,1,Lille Esport,-181.0,-518.0,-12.0,3.0,4.0,3.0,16009.0,17798.0,308.0,37813.0,40821.0,656.0,4439.0,1319.0,-10.0,10.0,19.0,3.0,27809.0,28863.0,473.0,1.0,0.0,1.0,0.0,8.0
LOLTMNT06_96169,Blue,1,Team Valiant,2582.0,1163.0,27.0,6.0,10.0,1.0,17608.0,19598.0,334.0,40375.0,44524.0,668.0,5490.0,2208.0,24.0,12.0,26.0,1.0,27761.0,30857.0,505.0,1.0,1.0,1.0,1.0,4.0
LOLTMNT06_96169,Red,0,Karmine Corp Blue Stars,-2582.0,-1163.0,-27.0,1.0,2.0,6.0,15026.0,18435.0,307.0,31090.0,41395.0,654.0,-5490.0,-2208.0,-24.0,1.0,2.0,12.0,22271.0,28649.0,481.0,0.0,0.0,0.0,0.0,3.0
LOLTMNT06_95187,Blue,1,IziDream,3425.0,2029.0,25.0,6.0,12.0,0.0,16969.0,17600.0,306.0,39146.0,42809.0,659.0,7586.0,4499.0,58.0,10.0,23.0,0.0,28155.0,29038.0,497.0,1.0,1.0,1.0,1.0,8.0
LOLTMNT06_95187,Red,0,Skillcamp,-3425.0,-2029.0,-25.0,0.0,0.0,6.0,13544.0,15571.0,281.0,28380.0,34768.0,588.0,-7586.0,-4499.0,-58.0,0.0,0.0,10.0,20569.0,24539.0,439.0,0.0,0.0,0.0,0.0,2.0
LOLTMNT06_96178,Blue,1,Esprit Shōnen,-800.0,-37.0,-12.0,1.0,2.0,1.0,15062.0,18846.0,326.0,33516.0,41206.0,728.0,-310.0,-625.0,9.0,1.0,2.0,3.0,23892.0,29774.0,538.0,1.0,1.0,0.0,0.0,6.0
LOLTMNT06_96178,Red,0,Zerance,800.0,37.0,12.0,1.0,1.0,1.0,15862.0,18883.0,338.0,34680.0,44719.0,709.0,310.0,625.0,-9.0,3.0,4.0,1.0,24202.0,30399.0,529.0,0.0,0.0,1.0,1.0,2.0
LOLTMNT06_96180,Blue,1,Project Conquerors,107.0,743.0,21.0,4.0,11.0,6.0,16657.0,18254.0,315.0,36598.0,43859.0,712.0,2420.0,2570.0,62.0,7.0,21.0,7.0,26847.0,30472.0,538.0,1.0,0.0,1.0,0.0,4.0
LOLTMNT06_96180,Red,0,Lille Esport,-107.0,-743.0,-21.0,6.0,15.0,4.0,16550.0,17511.0,294.0,32812.0,40443.0,663.0,-2420.0,-2570.0,-62.0,7.0,17.0,7.0,24427.0,27902.0,476.0,0.0,1.0,0.0,1.0,2.0
