gameid,side,result,teamname,goldat10,xpat10,csat10,goldat20,firsttower,firstdragon,firstherald,firstblood
LOLTMNT03_184086,Red,1,KT Rolster,16402.0,19149.0,323.0,36981.0,1.0,1.0,1.0,0.0
LOLTMNT03_183991,Red,0,KT Rolster,16052.0,18986.0,340.0,31810.0,0.0,1.0,0.0,0.0
LOLTMNT03_184105,Blue,1,KT Rolster,15090.0,18704.0,330.0,32787.0,0.0,1.0,1.0,1.0
LOLTMNT03_185025,Red,0,T1,15303.0,19104.0,339.0,31472.0,0.0,1.0,0.0,1.0
LOLTMNT03_185042,Blue,1,T1,15663.0,19056.0,358.0,32301.0,1.0,1.0,0.0,0.0
LOLTMNT03_185067,Red,0,T1,15879.0,18643.0,319.0,31698.0,0.0,1.0,0.0,1.0
LOLTMNT03_185467,Blue,1,Gen.G,15014.0,19593.0,342.0,33540.0,1.0,0.0,1.0,0.0
LOLTMNT03_185467,Red,0,Hanwha Life Esports,15539.0,19050.0,323.0,32818.0,0.0,1.0,0.0,1.0
LOLTMNT03_184583,Blue,0,Hanwha Life Esports,15276.0,17251.0,294.0,31256.0,0.0,1.0,0.0,0.0
LOLTMNT03_184583,Red,1,Gen.G,16917.0,18339.0,331.0,42127.0,1.0,0.0,1.0,1.0
LOLTMNT03_185513,Blue,0,CTBC Flying Oyster,15267.0,18376.0,306.0,33123.0,0.0,0.0,1.0,1.0
LOLTMNT03_185549,Blue,1,CTBC Flying Oyster,15819.0,19526.0,338.0,34299.0,1.0,1.0,0.0,0.0
LOLTMNT03_184704,Red,1,CTBC Flying Oyster,15699.0,18926.0,335.0,35460.0,1.0,1.0,1.0,1.0
LOLTMNT03_186260,Red,1,T1,16721.0,19482.0,343.0,36275.0,1.0,1.0,1.0,1.0
LOLTMNT03_187132,Red,1,T1,18257.0,20620.0,368.0,37238.0,1.0,1.0,1.0,1.0
LOLTMNT01_190206,Blue,1,PSG Talon,17086.0,19485.0,355.0,35296.0,1.0,0.0,1.0,1.0
LOLTMNT01_189225,Red,1,PSG Talon,15473.0,19373.0,342.0,36907.0,1.0,1.0,1.0,1.0
LOLTMNT06_96368,Blue,1,Movistar KOI,15263.0,18317.0,318.0,33766.0,1.0,1.0,1.0,1.0
LOLTMNT06_96368,Red,0,Fnatic,15508.0,18733.0,320.0,31478.0,0.0,0.0,0.0,0.0
LOLTMNT06_95385,Red,0,G2 Esports,15446.0,18856.0,326.0,34214.0,0.0,0.0,1.0,0.0
LOLTMNT03_187435,Blue,0,KT Rolster,15256.0,18935.0,336.0,31840.0,0.0,0.0,0.0,1.0
LOLTMNT03_187435,Red,1,Hanwha Life Esports,15781.0,18889.0,351.0,36426.0,1.0,1.0,1.0,0.0
